term	comparison	estimate	conf.low	conf.high	adj.p.value
supplement_consumed	Inulin-HiMaize+BRMPS	1.92172932330828	-3.662858101384553	7.506316748001113	0.99
supplement_consumed	LOODAT-HiMaize+BRMPS	-0.27205357142856545	-7.087554122412504	6.543446979555373	1
supplement_consumed	none-HiMaize+BRMPS	2.967662337662344	-3.29818448749715	9.23350916282184	0.92
supplement_consumed	Psyllium-HiMaize+BRMPS	1.0035714285714343	-6.887531959009081	8.89467481615195	1
supplement_consumed	Psyllium+BRMPS-HiMaize+BRMPS	-0.3852747252747104	-7.63338294238967	6.86283349184025	1
supplement_consumed	transition_HiMaize-HiMaize+BRMPS	0.43203296703297367	-5.593828477569833	6.457894411635781	1
supplement_consumed	LOODAT-Inulin	-2.193782894736845	-8.31463130981102	3.9270655203373286	0.99
supplement_consumed	none-Inulin	1.0459330143540642	-4.456300531781084	6.5481665604892125	1
supplement_consumed	Psyllium-Inulin	-0.9181578947368456	-8.217695567311619	6.381379777837928	1
supplement_consumed	Psyllium+BRMPS-Inulin	-2.30700404858299	-8.906156288595572	4.292148191429591	0.99
supplement_consumed	transition_HiMaize-Inulin	-1.4896963562753063	-6.717003857217286	3.7376111446666727	1
supplement_consumed	none-LOODAT	3.2397159090909096	-3.5084694064320727	9.987901224613893	0.92
supplement_consumed	Psyllium-LOODAT	1.2756249999999998	-7.003667318173299	9.554917318173299	1
supplement_consumed	Psyllium+BRMPS-LOODAT	-0.11322115384614495	-7.782135114980936	7.555692807288646	1
supplement_consumed	transition_HiMaize-LOODAT	0.7040865384615391	-5.821875058562254	7.230048135485331	1
supplement_consumed	Psyllium-none	-1.9640909090909098	-9.797127993495804	5.868946175313985	1
supplement_consumed	Psyllium+BRMPS-none	-3.3529370629370545	-10.537784313866407	3.831910187992297	0.93
supplement_consumed	transition_HiMaize-none	-2.5356293706293704	-8.485248135031696	3.413989393772956	0.96
supplement_consumed	Psyllium+BRMPS-Psyllium	-1.3888461538461447	-10.027752696708525	7.250060389016235	1
supplement_consumed	transition_HiMaize-Psyllium	-0.5715384615384607	-8.213962139852274	7.070885216775354	1
supplement_consumed	transition_HiMaize-Psyllium+BRMPS	0.8173076923076841	-6.159238712065784	7.793854096681152	1
